episode,score,average_score,best_score
1,-123.06911667783652,-123.06911667783652,-123.06911667783652
2,-103.26943068043764,-113.16927367913708,-113.16927367913708
3,-106.02025499367403,-110.78626745064939,-110.78626745064939
4,-115.31067982615158,-111.91737054452494,-110.78626745064939
5,-83.95488137003541,-106.32487270962704,-106.32487270962704
6,-113.59006629470673,-107.53573830714032,-106.32487270962704
7,-115.69966373704064,-108.70201336855465,-106.32487270962704
8,-215.25673236462336,-122.02135324306323,-106.32487270962704
9,-130.31451716609175,-122.94281590117751,-106.32487270962704
10,-127.81140738383309,-123.42967504944306,-106.32487270962704
11,-126.70031219248472,-123.72700569881049,-106.32487270962704
12,-100.8778512031374,-121.82290949083773,-106.32487270962704
13,-118.3073573205772,-121.5524824008177,-106.32487270962704
14,-104.19961289052975,-120.31299172151141,-106.32487270962704
15,-104.99649440788664,-119.29189190060309,-106.32487270962704
16,-97.92394452306132,-117.95639518950674,-106.32487270962704
17,-120.24088973949665,-118.09077722185908,-106.32487270962704
18,-109.68250415836584,-117.62365094055389,-106.32487270962704
19,-106.76048405284497,-117.05190531488502,-106.32487270962704
20,-102.23541708622686,-116.31108090345211,-106.32487270962704
21,-101.3790586057473,-115.600032222609,-106.32487270962704
22,-97.24369024496323,-114.76565304180691,-106.32487270962704
23,-99.31973681724878,-114.09409146682613,-106.32487270962704
24,-100.56617782891169,-113.53042839857972,-106.32487270962704
25,-94.50556033273693,-112.769433675946,-106.32487270962704
26,-98.81510495387111,-112.23272872509696,-106.32487270962704
27,-122.68793683754187,-112.6199586551875,-106.32487270962704
28,-121.92987312917225,-112.95245560068697,-106.32487270962704
29,-116.0530481264855,-113.0593725843352,-106.32487270962704
30,-97.01749682570032,-112.5246433923807,-106.32487270962704
31,-95.7510645421433,-111.98356020366336,-106.32487270962704
32,-98.6622033862248,-111.56726780311841,-106.32487270962704
33,-98.67250558938986,-111.17651743300543,-106.32487270962704
34,-99.11122224676578,-110.82165580988074,-106.32487270962704
35,-123.46740670816538,-111.18296297840315,-106.32487270962704
36,-103.60379943412481,-110.97243065772876,-106.32487270962704
37,-123.5569797824604,-111.31255360704583,-106.32487270962704
38,-122.32218390082258,-111.60228072003996,-106.32487270962704
39,-114.46922629091516,-111.67579214493419,-106.32487270962704
40,-99.97119942475949,-111.38317732692981,-106.32487270962704
41,-116.00404036662356,-111.4958813035077,-106.32487270962704
