episode,score,average_score,best_score
1,-261.6625017705586,-261.6625017705586,-261.6625017705586
2,-147.97621955235982,-204.8193606614592,-204.8193606614592
3,-218.07575434283208,-209.23815855525015,-204.8193606614592
4,-72.10859653215178,-174.95576804947555,-174.95576804947555
5,-198.4067525146472,-179.6459649425099,-174.95576804947555
6,-224.64500775601823,-187.14580541142792,-174.95576804947555
7,-133.7328246854095,-179.51537959342528,-174.95576804947555
8,-146.80550518739142,-175.42664529267108,-174.95576804947555
9,-15.095053642450901,-157.61202399820218,-157.61202399820218
10,-1.337690204350463,-141.984590618817,-141.984590618817
11,-89.56716245158289,-137.21936987634118,-137.21936987634118
12,-154.9583896533883,-138.69762152442846,-137.21936987634118
13,6.083556199937046,-127.56060785332342,-127.56060785332342
14,68.63783866479264,-113.5464331020294,-113.5464331020294
15,-82.53596278634807,-111.47906841431731,-111.47906841431731
16,-137.4750705879449,-113.10381855016902,-111.47906841431731
17,381.5657881607258,-84.00560639070463,-84.00560639070463
18,29.07519996251494,-77.72333937108131,-77.72333937108131
19,-143.58026242877142,-81.1894932162229,-77.72333937108131
20,184.07162494394095,-67.92643730821472,-67.92643730821472
21,-220.07172783672988,-75.17145114290591,-67.92643730821472
22,-242.31631719897138,-82.76894505454526,-67.92643730821472
23,48.37616707809877,-77.06698365747377,-67.92643730821472
24,255.36545369054215,-63.21563210130645,-63.21563210130645
25,-386.2425097650852,-76.1367072078576,-63.21563210130645
26,142.8143598344331,-67.71551232161565,-63.21563210130645
27,-77.08376693512625,-68.06248471470863,-63.21563210130645
28,-94.70824660849674,-69.0141190680582,-63.21563210130645
29,-233.29177379216372,-74.67886578268254,-63.21563210130645
30,588.5619306755079,-52.57083923407619,-52.57083923407619
31,-260.66223616549496,-59.28346494154131,-52.57083923407619
32,355.95999022515787,-46.30710696758196,-46.30710696758196
33,631.8065942568236,-25.75820693047876,-25.75820693047876
34,179.8933393326758,-19.70963204038598,-19.70963204038598
35,-29.15199570615174,-19.97941385940786,-19.70963204038598
36,589.6940287738539,-3.0440404529283662,-3.0440404529283662
37,878.4043203465632,20.778888217328163,20.778888217328163
38,35.80589662677947,21.174335807050564,21.174335807050564
39,730.202378987955,39.35454204245837,39.35454204245837
40,1066.5820177602534,65.03522893540324,65.03522893540324
41,973.3371270880741,87.18893376839522,87.18893376839522
42,1001.9256813409193,108.9683801391696,108.9683801391696
43,956.848922077811,128.68653227727754,128.68653227727754
44,180.16321459041828,129.85645687530348,129.85645687530348
45,1181.5705371199044,153.22788088073906,153.22788088073906
46,866.1467106423886,168.72611631034013,168.72611631034013
47,355.77786021390267,172.7059406487138,172.7059406487138
48,721.3095121469562,184.13518172159385,184.13518172159385
49,1188.2681256786088,204.62769078194108,204.62769078194108
50,1133.3327312179117,223.2017915906605,223.2017915906605
51,-1.6581909786013453,218.79277232459654,223.2017915906605
52,1318.3378991794484,239.9378709179591,239.9378709179591
53,936.4593661380068,253.07978592211094,253.07978592211094
54,356.1747135301226,254.98895124818523,254.98895124818523
55,1232.351892329982,272.75918654058154,272.75918654058154
56,1178.353197116721,288.9305081580125,288.9305081580125
57,1321.8112022799107,307.0512220899757,307.0512220899757
58,471.5288018259486,309.8870424302511,309.8870424302511
59,1242.855910950242,325.7000741000814,325.7000741000814
60,868.0106670243068,334.73858398215185,334.73858398215185
61,1273.833462213186,350.1335819859393,350.1335819859393
62,217.0870236304388,347.987669754399,350.1335819859393
63,1446.3532052330231,365.42204333342477,365.42204333342477
64,1499.770334700905,383.14623538604167,383.14623538604167
65,1532.671542533151,400.83124011138176,400.83124011138176
66,1446.6722779034355,416.6773164415644,416.6773164415644
67,607.4545916679469,419.5247384598686,419.5247384598686
68,1525.1213822444702,435.78351263317154,435.78351263317154
69,1448.4908637108638,450.46043076473234,450.46043076473234
70,1284.6232348250244,462.3770422513079,462.3770422513079
71,1639.2467641925703,478.95267213780454,478.95267213780454
