episode,score,average_score,best_score
1,38210.15999272628,38210.15999272628,38210.15999272628
2,47625.25740499824,42917.70869886226,42917.70869886226
3,106578.39784611708,64137.93841461387,64137.93841461387
4,94641.25095184619,71763.76654892195,71763.76654892195
5,63122.91053794361,70035.59534672627,71763.76654892195
6,107883.92682756948,76343.65059353349,76343.65059353349
7,69038.71132424458,75300.08784077792,76343.65059353349
8,107848.7876198571,79368.67531316282,79368.67531316282
9,72152.35230770688,78566.86164588993,79368.67531316282
10,107920.93008680127,81502.26848998107,81502.26848998107
11,107835.59236112535,83896.20702372146,83896.20702372146
12,107755.05953252809,85884.44473278867,85884.44473278867
13,63757.41971766194,84182.36588547124,85884.44473278867
14,63003.6478708912,82669.60031300124,85884.44473278867
15,65644.45638454793,81534.59071777103,85884.44473278867
16,64256.00615997399,80454.6791829087,85884.44473278867
17,63284.84172584109,79444.68874425767,85884.44473278867
18,63255.8551467755,78545.3090999531,85884.44473278867
19,72944.4452476332,78250.52679193627,85884.44473278867
20,65937.170881481,77634.8589964135,85884.44473278867
21,65433.52614628105,77053.84314640719,85884.44473278867
22,73224.95970051122,76879.80298977556,85884.44473278867
23,71602.43146829934,76650.3520540592,85884.44473278867
24,41881.52384823796,75201.65087881665,85884.44473278867
25,43293.00813846499,73925.30516920258,85884.44473278867
26,47363.593290336314,72903.70086616927,85884.44473278867
27,41802.36081546704,71751.79938280991,85884.44473278867
28,41471.965967434466,70670.37676083222,85884.44473278867
29,46898.71825993331,69850.66439873226,85884.44473278867
30,60241.46538363924,69530.35776489583,85884.44473278867
31,72288.91964852983,69619.34363210984,85884.44473278867
32,43752.38342095657,68811.00112551129,85884.44473278867
33,51385.19378653515,68282.94635766352,85884.44473278867
34,47545.8360855911,67673.0313496614,85884.44473278867
35,44209.63181079,67002.64850569364,85884.44473278867
36,54899.3895954043,66666.4468692967,85884.44473278867
37,47719.52904558099,66154.36800919627,85884.44473278867
38,107616.65837049262,67245.48091344092,85884.44473278867
39,107739.62417674488,68283.79227916666,85884.44473278867
40,107689.09316321889,69268.92480126799,85884.44473278867
41,107720.27051810516,70206.76250167865,85884.44473278867
42,107795.43510753133,71101.7308970561,85884.44473278867
43,107703.57996200316,71952.93668926416,85884.44473278867
44,107769.79765019716,72766.95625655809,85884.44473278867
45,107889.68128401529,73547.46125716825,85884.44473278867
46,107723.88759554643,74290.427047133,85884.44473278867
47,107708.90760087958,75001.45854827654,85884.44473278867
48,107738.47796799678,75683.47978618738,85884.44473278867
49,63878.8888962716,75442.56976802583,85884.44473278867
50,107757.67569922635,76088.87188664985,85884.44473278867
51,107742.51064319305,76709.53147011148,85884.44473278867
52,107760.62720114124,77306.66792647744,85884.44473278867
53,107770.8284776926,77881.46340857584,85884.44473278867
54,107746.84934894688,78434.5261111753,85884.44473278867
55,107668.64233975192,78966.05549714943,85884.44473278867
56,107704.62273716874,79479.24419786406,85884.44473278867
57,107727.02007609048,79974.81921327153,85884.44473278867
58,107782.56697214603,80454.26314014867,85884.44473278867
59,107804.63182199048,80917.82871102734,85884.44473278867
60,107721.73860985313,81364.56054267444,85884.44473278867
61,107733.20782074945,81796.83344887239,85884.44473278867
62,107749.4505130141,82215.42404668115,85884.44473278867
63,107801.12189050451,82621.54623467835,85884.44473278867
64,107724.08434640711,83013.77339267409,85884.44473278867
65,107524.33879773307,83390.85901429038,85884.44473278867
66,107742.64058232235,83759.82540168481,85884.44473278867
67,107758.12182848218,84118.00893044299,85884.44473278867
68,107716.14137980518,84465.04028999242,85884.44473278867
69,107732.46537089541,84802.24934913595,85884.44473278867
70,107729.98191738022,85129.78838582516,85884.44473278867
71,107757.05468904688,85448.48227741983,85884.44473278867
72,107682.22293328651,85757.28423097351,85884.44473278867
73,110529.50036652994,86096.629657488,86096.629657488
74,107697.35870664475,86388.53140139552,86388.53140139552
75,107797.22173717694,86673.98060587261,86673.98060587261
76,107724.82804123712,86950.96544054845,86950.96544054845
77,62693.04422101324,86635.9275026324,86950.96544054845
78,107715.04371136262,86906.1725822315,86950.96544054845
79,107764.11349211416,87170.19715071104,87170.19715071104
80,107713.10609778491,87426.98351254946,87426.98351254946
81,109898.16273796976,87704.40547829539,87704.40547829539
82,107721.17221679573,87948.51238974051,87948.51238974051
83,64356.92461786442,87664.27639248899,87948.51238974051
84,107777.5385186312,87903.71998922878,87948.51238974051
85,107810.77786483086,88137.92067011821,88137.92067011821
86,107733.23245297509,88365.77313270955,88365.77313270955
87,63167.04605078609,88076.13259153803,88365.77313270955
88,107230.61157290415,88293.79712541722,88365.77313270955
89,133776.02777626013,88804.83342486488,88804.83342486488
90,144056.71871457013,89418.74326141716,89418.74326141716
