episode,score,average_score,best_score
1,3.0,3.0,3.0
2,5.0,4.0,4.0
3,3.0,3.6666666666666665,4.0
4,9.0,5.0,5.0
5,10.0,6.0,6.0
6,6.0,6.0,6.0
7,4.0,5.714285714285714,6.0
8,3.0,5.375,6.0
9,5.0,5.333333333333333,6.0
10,4.0,5.2,6.0
11,8.0,5.454545454545454,6.0
12,5.0,5.416666666666667,6.0
13,3.0,5.230769230769231,6.0
14,7.0,5.357142857142857,6.0
15,4.0,5.266666666666667,6.0
16,4.0,5.1875,6.0
17,5.0,5.176470588235294,6.0
18,6.0,5.222222222222222,6.0
19,3.0,5.105263157894737,6.0
20,4.0,5.05,6.0
21,8.0,5.190476190476191,6.0
22,4.0,5.136363636363637,6.0
23,4.0,5.086956521739131,6.0
24,3.0,5.0,6.0
25,6.0,5.04,6.0
26,4.0,5.0,6.0
27,13.0,5.296296296296297,6.0
28,7.0,5.357142857142857,6.0
29,7.0,5.413793103448276,6.0
30,7.0,5.466666666666667,6.0
31,3.0,5.387096774193548,6.0
32,5.0,5.375,6.0
33,5.0,5.363636363636363,6.0
34,5.0,5.352941176470588,6.0
35,7.0,5.4,6.0
36,14.0,5.638888888888889,6.0
37,18.0,5.972972972972973,6.0
38,4.0,5.921052631578948,6.0
39,5.0,5.897435897435898,6.0
40,8.0,5.95,6.0
41,4.0,5.902439024390244,6.0
42,7.0,5.928571428571429,6.0
43,3.0,5.8604651162790695,6.0
44,3.0,5.795454545454546,6.0
45,4.0,5.7555555555555555,6.0
46,5.0,5.739130434782608,6.0
47,4.0,5.702127659574468,6.0
48,3.0,5.645833333333333,6.0
49,6.0,5.653061224489796,6.0
50,4.0,5.62,6.0
51,3.0,5.568627450980392,6.0
52,3.0,5.519230769230769,6.0
53,3.0,5.471698113207547,6.0
54,4.0,5.444444444444445,6.0
55,6.0,5.454545454545454,6.0
56,5.0,5.446428571428571,6.0
57,4.0,5.421052631578948,6.0
58,3.0,5.379310344827586,6.0
59,4.0,5.3559322033898304,6.0
