episode,score,average_score,best_score
1,-427.6688577115462,-427.6688577115462,-427.6688577115462
2,-307.82008583628954,-367.7444717739179,-367.7444717739179
3,-309.50012975435754,-348.32969110073117,-348.32969110073117
4,-136.35501700865154,-295.3360225777112,-295.3360225777112
5,-50.608643022113256,-246.39054666659163,-246.39054666659163
6,-252.0213430039052,-247.32901272281057,-246.39054666659163
7,-89.76281444815592,-224.81955582643133,-224.81955582643133
8,-238.32041914755578,-226.50716374157187,-224.81955582643133
9,-173.7377250227101,-220.64389277280944,-220.64389277280944
10,-142.9017143475296,-212.86967493028146,-212.86967493028146
11,-132.44328376906026,-205.55818482471588,-205.55818482471588
12,-55.77769630555022,-193.07647744811877,-193.07647744811877
13,-146.43147264444252,-189.4884001555283,-189.4884001555283
14,-107.35521030206709,-183.6217437374239,-183.6217437374239
15,-119.06859876389976,-179.31820073918897,-179.31820073918897
16,-129.43285856774298,-176.20036685347358,-176.20036685347358
17,-158.1298806789913,-175.13739707850405,-175.13739707850405
18,-197.68718596448042,-176.39016312772495,-175.13739707850405
19,-230.8737024474599,-179.25771782876362,-175.13739707850405
20,-462.9858436098977,-193.4441241178203,-175.13739707850405
21,-260.0823378358052,-196.61737239010532,-175.13739707850405
22,-161.4372094688677,-195.01827407550363,-175.13739707850405
23,-253.98132466016833,-197.58188497048903,-175.13739707850405
24,-289.7735331106493,-201.42320364299573,-175.13739707850405
25,-274.8881120808454,-204.36179998050972,-175.13739707850405
26,-291.76050296246547,-207.7232885567388,-175.13739707850405
27,-90.27048654899409,-203.37318477867416,-175.13739707850405
28,-1258.5389803750877,-241.05767747854608,-175.13739707850405
29,-18.96762887919388,-233.3993999406374,-175.13739707850405
30,-360.59490680715595,-237.63925016952135,-175.13739707850405
31,-493.55964101037887,-245.8947466482587,-175.13739707850405
32,-202.01153514830403,-244.52339628888507,-175.13739707850405
33,-421.8844374811862,-249.8979732947124,-175.13739707850405
34,-361.5286217864285,-253.18122766211582,-175.13739707850405
35,-207.1997333756039,-251.8674706825012,-175.13739707850405
36,-318.5042328769707,-253.7184918545698,-175.13739707850405
37,-320.8581620741558,-255.5330775361802,-175.13739707850405
38,-164.50666818594703,-253.13764571117406,-175.13739707850405
39,-382.1000285962951,-256.4443734774592,-175.13739707850405
40,-234.74752813230887,-255.90195234383046,-175.13739707850405
41,-228.62851398622504,-255.2367465302303,-175.13739707850405
42,-233.33902624431872,-254.7153722377086,-175.13739707850405
43,-78.29858373090437,-250.61265622592248,-175.13739707850405
44,-472.9294031357696,-255.66530956478263,-175.13739707850405
45,-125.47061597998757,-252.7720941517872,-175.13739707850405
46,-182.23702351137166,-251.23872305090862,-175.13739707850405
47,-212.2331391840071,-250.4088170111873,-175.13739707850405
48,-289.0909974766361,-251.2146957708841,-175.13739707850405
49,-177.20506939577658,-249.70429523261663,-175.13739707850405
50,-160.55120698781346,-247.92123346772055,-175.13739707850405
51,-216.40468412938804,-247.30326191206697,-175.13739707850405
52,-584.386075128191,-253.78562370468475,-175.13739707850405
53,-167.4342226830194,-252.15635198729484,-175.13739707850405
54,-509.42469715802014,-256.9205806015675,-175.13739707850405
55,-159.08375581163003,-255.14172924175048,-175.13739707850405
56,-426.01107964153704,-258.1929676417467,-175.13739707850405
57,-97.2224375036946,-255.3689232533598,-175.13739707850405
58,-410.2684812353205,-258.0396052875316,-175.13739707850405
59,-270.6834308140381,-258.2539074150995,-175.13739707850405
60,-96.70334731728985,-255.56139808013597,-175.13739707850405
61,-145.68422244427003,-253.7601329057775,-175.13739707850405
62,-91.2498840891616,-251.13899986034824,-175.13739707850405
63,-41.109562479044904,-247.8051992669942,-175.13739707850405
64,-176.80336939148742,-246.6957956751894,-175.13739707850405
65,-53.95699257299317,-243.730583319771,-175.13739707850405
66,-13.09934272655623,-240.2361705835102,-175.13739707850405
67,-117.86854211371693,-238.40978806903564,-175.13739707850405
68,-149.52011521291672,-237.10258699762215,-175.13739707850405
69,-164.21360414454983,-236.04622492728777,-175.13739707850405
70,-100.44752928261204,-234.1091007037924,-175.13739707850405
71,-11.654279681486543,-230.97593421052048,-175.13739707850405
72,-287.35936887366006,-231.75903746973074,-175.13739707850405
73,-123.5722719233822,-230.27702698279444,-175.13739707850405
74,-78.03529576250112,-228.2197062906283,-175.13739707850405
75,-94.70738827443733,-226.43954205041243,-175.13739707850405
76,-100.51262802833999,-224.78260897117462,-175.13739707850405
77,-114.84170575108838,-223.35480503325144,-175.13739707850405
78,-118.6206591019232,-222.01205957259336,-175.13739707850405
79,-87.66565129281302,-220.31147212601385,-175.13739707850405
80,-126.5003768056456,-219.1388334345093,-175.13739707850405
81,-122.17288997551242,-217.94172302143525,-175.13739707850405
82,-141.04805496868326,-217.00399536225535,-175.13739707850405
83,-77.8607252424966,-215.32757042105342,-175.13739707850405
84,-91.66103407155083,-213.85534975022603,-175.13739707850405
85,-246.33548816828292,-214.23746902573257,-175.13739707850405
86,-146.296871725987,-213.44746208038669,-175.13739707850405
87,-23.34216928474251,-211.2623437723908,-175.13739707850405
88,-10.744345367199443,-208.98373015415,-175.13739707850405
89,-126.42774221491403,-208.05613478404624,-175.13739707850405
90,-46.62195762282866,-206.26242170447716,-175.13739707850405
91,-48.11194254197979,-204.5245043510431,-175.13739707850405
92,-26.750054894137605,-202.59217337868543,-175.13739707850405
93,-141.36530507788527,-201.9338199560962,-175.13739707850405
94,-91.08935058251585,-200.7546234733985,-175.13739707850405
95,-105.85944208838058,-199.75572682724044,-175.13739707850405
96,-122.24645653491625,-198.94833859502873,-175.13739707850405
97,-341.60066815555376,-200.41898116781766,-175.13739707850405
98,-409.62046543330666,-202.55369019093487,-175.13739707850405
99,-168.30759004886005,-202.20776998747957,-175.13739707850405
100,-82.82554965840554,-201.01394778418882,-175.13739707850405
101,-105.7316629523052,-197.79457583659638,-175.13739707850405
102,-83.81275243395298,-195.55450250257306,-175.13739707850405
103,-73.07037267107029,-193.1902049317402,-175.13739707850405
104,-41.76149340221332,-192.2442696956758,-175.13739707850405
105,-430.64869624716323,-196.04467022792633,-175.13739707850405
106,-96.77182152675857,-194.49217501315488,-175.13739707850405
107,-394.7649741198723,-197.54219660987204,-175.13739707850405
108,-99.3439937147844,-196.1524323555443,-175.13739707850405
109,-84.7079505133572,-195.26213461045077,-175.13739707850405
110,-48.726236109131634,-194.3203798280668,-175.13739707850405
111,-81.79505686224788,-193.81389755899866,-175.13739707850405
112,-180.4983581475994,-195.0611041774192,-175.13739707850405
113,-94.92055136651646,-194.54599496463987,-175.13739707850405
114,-174.28109862789807,-195.21525384789817,-175.13739707850405
115,-142.46103167299864,-195.4491781769892,-175.13739707850405
116,-16.540889484337896,-194.3202584861551,-175.13739707850405
117,-84.5028116632483,-193.5839877959977,-175.13739707850405
118,-223.10519707045643,-193.8381679070575,-175.13739707850405
119,-36.37325095963148,-191.8931633921792,-175.13739707850405
120,-35.513673531734334,-187.61844169139758,-175.13739707850405
121,-161.78434679803988,-186.63546178101987,-175.13739707850405
122,-107.80873145049225,-186.09917700083614,-175.13739707850405
123,-70.29551446855636,-184.26231889891997,-175.13739707850405
124,-52.151935804660056,-181.88610292586011,-175.13739707850405
125,-222.06515401693065,-181.35787334522098,-175.13739707850405
126,-114.4882294686369,-179.58515061028268,-175.13739707850405
127,-55.23293324873701,-179.2347750772801,-175.13739707850405
128,-105.0745972157663,-167.70013124568686,-167.70013124568686
129,-85.5655218884379,-168.3661101757793,-167.70013124568686
130,-75.37808727868484,-165.51394198049465,-165.51394198049465
131,-29.88124843407416,-160.87715805473158,-160.87715805473158
132,21.40078712498574,-158.64303483199868,-158.64303483199868
133,-98.25660674920226,-155.40675652467885,-155.40675652467885
134,-15.818840113072186,-151.9496587079453,-151.9496587079453
135,-96.70574347692703,-150.8447188089585,-150.8447188089585
136,-9.095042344537699,-147.75062690363418,-147.75062690363418
137,-20.79142842146564,-144.74995956710728,-144.74995956710728
138,-45.0771011381408,-143.5556638966292,-143.5556638966292
139,-79.66337993797735,-140.53129741004605,-140.53129741004605
140,-135.02486548310333,-139.534070783554,-139.534070783554
141,-49.59867129351717,-137.74377235662692,-137.74377235662692
142,-119.9229491953269,-136.609611586137,-136.609611586137
143,1.594962106609931,-135.81067612776184,-135.81067612776184
144,11.773823972637627,-130.96364385667778,-130.96364385667778
145,-86.96310391641838,-130.5785687360421,-130.5785687360421
146,-3.329337261117608,-128.78949187353953,-128.78949187353953
147,4.967722759003621,-126.61748325410944,-126.61748325410944
148,-32.29947983785769,-124.04956807772163,-124.04956807772163
149,-76.01639621457282,-123.0376813459096,-123.0376813459096
150,-92.31631704280397,-122.3553324464595,-122.3553324464595
151,-81.68899873532263,-121.00817559251884,-121.00817559251884
152,-50.094472448096894,-115.6652595657179,-115.6652595657179
153,-4.986738411923996,-114.04078472300698,-114.04078472300698
154,-23.286122328523742,-109.179398974712,-109.179398974712
155,-29.589674359694985,-107.88445816019266,-107.88445816019266
156,-20.946584230601964,-103.8338132060833,-103.8338132060833
157,-51.42748761035097,-103.37586370714988,-103.37586370714988
