episode,score,average_score,best_score
1,-30.359247375087946,-30.359247375087946,-30.359247375087946
2,-25.87736974116814,-28.118308558128042,-28.118308558128042
3,-26.099200449270505,-27.445272521842195,-27.445272521842195
4,-26.470368891459536,-27.20154661424653,-27.20154661424653
5,-26.325405580658742,-27.026318407528976,-27.026318407528976
6,-25.50693261599159,-26.773087442272743,-26.773087442272743
7,-25.876357684595252,-26.64498319117596,-26.64498319117596
8,-26.55933123905956,-26.634276697161408,-26.634276697161408
9,-27.578356549278556,-26.739174458507758,-26.634276697161408
10,-25.662774330130716,-26.631534445670052,-26.631534445670052
11,-26.22026544887995,-26.59414635505277,-26.59414635505277
12,-25.10410002359776,-26.469975827431522,-26.469975827431522
13,-27.67138251026078,-26.562391726110697,-26.469975827431522
14,-24.483767953238573,-26.413918599476972,-26.413918599476972
15,-25.13781381830408,-26.328844947398782,-26.328844947398782
16,-26.75446830617813,-26.35544640732249,-26.328844947398782
17,-25.322241723554264,-26.294669661218478,-26.294669661218478
18,-25.12402791214157,-26.22963400849198,-26.22963400849198
19,-25.491299895287167,-26.190774318323307,-26.190774318323307
20,-24.940729384546728,-26.128272071634477,-26.128272071634477
21,-26.13117954830299,-26.128410522904407,-26.128272071634477
22,-25.169888585752602,-26.08484134394296,-26.08484134394296
23,-26.429787567755184,-26.099839005847837,-26.08484134394296
24,-25.747967824555044,-26.08517770662731,-26.08484134394296
25,-25.967738729773345,-26.080480147553153,-26.080480147553153
26,-26.93447871783708,-26.113326246410228,-26.080480147553153
27,-25.632545178314736,-26.095519540184473,-26.080480147553153
28,-26.566874160648094,-26.11235363377246,-26.080480147553153
29,-26.710026695977383,-26.13296304971056,-26.080480147553153
30,-24.89749636555602,-26.091780826905406,-26.080480147553153
31,-25.50032098539132,-26.072701477179148,-26.072701477179148
32,-25.782219602860177,-26.063623918606673,-26.063623918606673
33,-25.920835534343272,-26.059296997871417,-26.059296997871417
34,-25.661722771947353,-26.047603638285416,-26.047603638285416
35,-25.68741206092123,-26.037312450360727,-26.037312450360727
36,-26.13917327466098,-26.0401419177024,-26.037312450360727
37,-26.052247606572884,-26.04046909848268,-26.037312450360727
38,-25.86151376226089,-26.035759747529475,-26.035759747529475
39,-26.35642290746252,-26.043981879835453,-26.035759747529475
40,-26.096861639629623,-26.045303873830306,-26.035759747529475
41,-26.38778894732155,-26.0536571683057,-26.035759747529475
42,-25.113481536106594,-26.03127203420572,-26.03127203420572
43,-26.0046022131591,-26.03065180580929,-26.03065180580929
44,-26.512091489723474,-26.041593616807337,-26.03065180580929
45,-26.377030516200804,-26.049047770127192,-26.03065180580929
46,-25.740166521124422,-26.042332960366263,-26.03065180580929
47,-24.62428767284979,-26.012161784036124,-26.012161784036124
48,-25.151096213985046,-25.994222917993397,-25.994222917993397
49,-25.449429516943148,-25.983104685318903,-25.983104685318903
50,-25.842728428029705,-25.98029716017312,-25.98029716017312
51,-25.07597650170628,-25.96256538255612,-25.96256538255612
52,-25.27016284754313,-25.949249949190484,-25.949249949190484
53,-25.604137387156957,-25.942738391416267,-25.942738391416267
54,-25.219100672977298,-25.929337692926655,-25.929337692926655
55,-26.07118483639371,-25.931916731898784,-25.929337692926655
56,-25.27809192697348,-25.920241288953694,-25.920241288953694
57,-24.670278417035586,-25.89831211576215,-25.89831211576215
58,-25.297819537357583,-25.887958795444828,-25.887958795444828
59,-25.526069127176815,-25.881825072253847,-25.881825072253847
60,-25.763938384897713,-25.879860294131245,-25.879860294131245
61,-25.66565327364313,-25.87634870363144,-25.87634870363144
62,-26.091296267653178,-25.87981559982534,-25.87634870363144
63,-24.705468562671978,-25.861175170664175,-25.861175170664175
64,-24.751120053167558,-25.843830559453288,-25.843830559453288
65,-27.2064063351652,-25.86479326369501,-25.843830559453288
66,-24.746320508454573,-25.847846706797426,-25.843830559453288
67,-25.63385386118982,-25.84465278372866,-25.843830559453288
68,-25.783138070705956,-25.84374815559597,-25.84374815559597
69,-26.250928833472635,-25.849649324840563,-25.84374815559597
70,-25.938347629714187,-25.850916443481612,-25.84374815559597
71,-25.65656676329717,-25.848179124042396,-25.84374815559597
72,-26.23580964248921,-25.85356288124304,-25.84374815559597
73,-26.83091860345389,-25.866951315793877,-25.84374815559597
74,-25.42808188019051,-25.861020647745182,-25.84374815559597
75,-24.469111643516552,-25.842461861022134,-25.842461861022134
76,-26.596751288778364,-25.852386721913664,-25.842461861022134
77,-24.920184165045107,-25.840280195201085,-25.840280195201085
78,-26.690052057389003,-25.851174706254778,-25.840280195201085
79,-24.56454772743906,-25.834888288801412,-25.834888288801412
80,-26.377607879715423,-25.841672283687842,-25.834888288801412
81,-26.99856884501241,-25.855954957284442,-25.834888288801412
82,-25.712786611354442,-25.854209001846275,-25.834888288801412
83,-26.95199492241587,-25.86743533823868,-25.834888288801412
84,-27.15806734904145,-25.882800005033953,-25.834888288801412
85,-26.59761107139383,-25.891209546991124,-25.834888288801412
86,-25.068939859981448,-25.88164827156078,-25.834888288801412
87,-25.306250255107265,-25.87503450125672,-25.834888288801412
88,-26.046406297104717,-25.87698190802771,-25.834888288801412
89,-24.84600897907547,-25.865397942533864,-25.834888288801412
90,-25.27114096598989,-25.85879508723893,-25.834888288801412
91,-25.500560562815522,-25.854858444113404,-25.834888288801412
92,-25.677878117019628,-25.852934744905863,-25.834888288801412
93,-26.26451189246636,-25.857360305632323,-25.834888288801412
94,-26.630270371851225,-25.865582753145286,-25.834888288801412
