episode,score,average_score,best_score
1,-1394.279732417829,-1394.279732417829,-1394.279732417829
2,-1629.229610264168,-1511.7546713409986,-1394.279732417829
3,-1555.5472409935833,-1526.352194558527,-1394.279732417829
4,-1541.89003920635,-1530.2366557204825,-1394.279732417829
5,-1826.144731822818,-1589.4182709409495,-1394.279732417829
6,-1666.3114207333394,-1602.233795906348,-1394.279732417829
7,-1841.3221882091636,-1636.389280521036,-1394.279732417829
8,-1728.8007325413582,-1647.9407120235765,-1394.279732417829
9,-1634.300760639123,-1646.425161869748,-1394.279732417829
10,-1521.6537601965952,-1633.948021702433,-1394.279732417829
11,-1533.2699090377257,-1624.7954660056414,-1394.279732417829
12,-1369.308930725141,-1603.504921398933,-1394.279732417829
13,-1420.8930960026191,-1589.4578579069089,-1394.279732417829
14,-1348.3766994269306,-1572.237775158339,-1394.279732417829
15,-1635.5460196990402,-1576.4583247943856,-1394.279732417829
16,-1406.5636051017214,-1565.8399048135943,-1394.279732417829
17,-1127.9231796362033,-1540.0800974502183,-1394.279732417829
18,-1380.9055811613098,-1531.2370687675013,-1394.279732417829
19,-1383.8001830621195,-1523.4772326777443,-1394.279732417829
20,-1239.8337697713696,-1509.2950595324255,-1394.279732417829
21,-1278.1283965805526,-1498.287123201384,-1394.279732417829
22,-1214.928211124494,-1485.4071726524344,-1394.279732417829
23,-1302.337617876808,-1477.4476267926245,-1394.279732417829
24,-1069.8167961292004,-1460.4630088483152,-1394.279732417829
25,-1222.5148819224296,-1450.9450837712795,-1394.279732417829
26,-1111.9492374788624,-1437.9067819908018,-1394.279732417829
27,-1014.8625698159649,-1422.2384778361784,-1394.279732417829
28,-1040.7458601824608,-1408.6137414914028,-1394.279732417829
29,-1068.6344577649563,-1396.890317914629,-1394.279732417829
30,-1005.2125119942165,-1383.834391050615,-1383.834391050615
31,-998.2151556761607,-1371.3950608772454,-1371.3950608772454
32,-873.8416701249499,-1355.8465174162363,-1355.8465174162363
33,-1095.4214558782744,-1347.9548488847831,-1347.9548488847831
34,-1024.1390077781489,-1338.4308535581172,-1338.4308535581172
35,-1206.0570245240363,-1334.6487441571435,-1334.6487441571435
36,-1096.013677836525,-1328.0199923149041,-1328.0199923149041
37,-581.2324589364478,-1307.8365454668378,-1307.8365454668378
38,-880.352176818339,-1296.5869568181934,-1296.5869568181934
39,-928.2091615278362,-1287.1413723235687,-1287.1413723235687
40,-1043.1060924349376,-1281.0404903263527,-1281.0404903263527
41,-878.4437885955542,-1271.221058576821,-1271.221058576821
42,-1145.9736639445864,-1268.238977752244,-1268.238977752244
43,-1028.7572853747429,-1262.6696360690462,-1262.6696360690462
44,-897.74142535504,-1254.3758130982733,-1254.3758130982733
45,-763.973313068344,-1243.4779797642748,-1243.4779797642748
46,-1021.7923506814858,-1238.6587269581273,-1238.6587269581273
47,-898.1813458212645,-1231.4145273594706,-1231.4145273594706
48,-860.6496911048274,-1223.690259937499,-1223.690259937499
49,-897.9354815971731,-1217.042203236676,-1217.042203236676
50,-771.788288310252,-1208.1371249381475,-1208.1371249381475
51,-902.3072642793583,-1202.1404610036614,-1202.1404610036614
52,-922.3824382336661,-1196.7604990273153,-1196.7604990273153
53,-918.3509542819354,-1191.5074887491007,-1191.5074887491007
54,-902.0766437148193,-1186.1476582855028,-1186.1476582855028
55,-943.3202840510974,-1181.7326151176046,-1181.7326151176046
56,-914.1599056887464,-1176.9545310206606,-1176.9545310206606
57,-914.7585268606155,-1172.354601123116,-1172.354601123116
58,-921.4865571892389,-1168.0292900208078,-1168.0292900208078
59,-915.0828369667715,-1163.7420620029427,-1163.7420620029427
60,-954.2889388735387,-1160.2511766174528,-1160.2511766174528
61,-979.5594969006489,-1157.2890179335707,-1157.2890179335707
62,-956.7934363154367,-1154.0552182300523,-1154.0552182300523
63,-908.0814504090521,-1150.150872709084,-1150.150872709084
64,-848.9997521064288,-1145.4453864496677,-1145.4453864496677
65,-809.3600245630348,-1140.2748424206427,-1140.2748424206427
66,-928.7482939407396,-1137.0698947164017,-1137.0698947164017
67,-1070.92185190751,-1136.0826104953733,-1136.0826104953733
68,-997.6300104742302,-1134.0465428480036,-1134.0465428480036
69,-1049.1987282890573,-1132.8168643761348,-1132.8168643761348
70,-973.1489164591183,-1130.535893691606,-1130.535893691606
71,-1059.3236855914604,-1129.5329048451251,-1129.5329048451251
72,-1029.3430881316062,-1128.141379612993,-1128.141379612993
73,-1112.8217890882827,-1127.931522208545,-1127.931522208545
74,-1159.976755473427,-1128.3645659013134,-1127.931522208545
75,-1091.6232017356567,-1127.8746810457715,-1127.8746810457715
76,-1171.4311817268067,-1128.4477928968377,-1127.8746810457715
77,-1178.5479527756836,-1129.0984443238356,-1127.8746810457715
78,-1235.7496310880101,-1130.4657672310686,-1127.8746810457715
79,-1066.568196262271,-1129.6569372188053,-1127.8746810457715
80,-1045.5523857315948,-1128.6056303252153,-1127.8746810457715
81,-1213.4480886776298,-1129.6530680826525,-1127.8746810457715
82,-960.3362959184384,-1127.5882293977231,-1127.5882293977231
83,-1202.94936790006,-1128.4961949218477,-1127.5882293977231
84,-1142.737659193305,-1128.6657361631744,-1127.5882293977231
85,-1102.2454799295294,-1128.3549096192492,-1127.5882293977231
86,-1222.6817413376875,-1129.4517332438822,-1127.5882293977231
87,-1199.558355062402,-1130.2575564831754,-1127.5882293977231
88,-1188.4714474511409,-1130.919077971448,-1127.5882293977231
89,-1180.6682641888335,-1131.4780575918678,-1127.5882293977231
90,-1156.784737274694,-1131.759242921677,-1127.5882293977231
91,-1102.0356867067046,-1131.432610435798,-1127.5882293977231
92,-1170.6753224825209,-1131.8591616536974,-1127.5882293977231
93,-913.26075987573,-1129.5086412044718,-1127.5882293977231
94,-1183.604720773288,-1130.0841314126508,-1127.5882293977231
95,-1133.8352873146612,-1130.123617264251,-1127.5882293977231
96,-1181.710981120423,-1130.6609856377527,-1127.5882293977231
97,-1176.524094045555,-1131.1338011883486,-1127.5882293977231
98,-1172.2820395312233,-1131.5536811714392,-1127.5882293977231
99,-1101.7180687223254,-1131.252311348721,-1127.5882293977231
100,-1077.0799683310822,-1130.7105879185444,-1127.5882293977231
101,-1060.9620113785732,-1127.377410708152,-1127.377410708152
102,-1068.2158167699024,-1121.7672727732092,-1121.7672727732092
103,-1072.5885231892153,-1116.9376855951655,-1116.9376855951655
104,-1047.5446432954082,-1111.9942316360562,-1111.9942316360562
105,-1068.147071247945,-1104.4142550303075,-1104.4142550303075
106,-1066.4003544363013,-1098.415144367337,-1098.415144367337
107,-1054.0140054715068,-1090.5420625399604,-1090.5420625399604
108,-974.9377096977814,-1083.0034323115249,-1083.0034323115249
109,-1108.669156980646,-1077.74711627494,-1077.74711627494
110,-1109.327389303593,-1073.6238525660099,-1073.6238525660099
111,-1147.462271188335,-1069.765776187516,-1069.765776187516
112,-1048.9003273625449,-1066.5616901538901,-1066.5616901538901
113,-1037.4108252613096,-1062.726867446477,-1062.726867446477
114,-1092.7823386879074,-1060.1709238390868,-1060.1709238390868
115,-1035.0916412528977,-1054.1663800546253,-1054.1663800546253
116,-1030.3863230434492,-1050.4046072340427,-1050.4046072340427
117,-1033.8691937866458,-1049.464067375547,-1049.464067375547
118,-1030.4804925658057,-1045.959816489592,-1045.959816489592
119,-991.6580284138256,-1042.038394943109,-1042.038394943109
120,-1041.1684097903699,-1040.051741343299,-1040.051741343299
121,-931.7828673360096,-1036.5882860508536,-1036.5882860508536
122,-944.6531270487448,-1033.8855352100961,-1033.8855352100961
123,-872.8828112823578,-1029.5909871441515,-1029.5909871441515
124,-868.3175438456968,-1027.5759946213166,-1027.5759946213166
125,-906.8653402942641,-1024.419499205035,-1024.419499205035
126,-967.0902871579094,-1022.9709097018255,-1022.9709097018255
127,-1006.1035686434121,-1022.8833196901002,-1022.8833196901002
128,-886.9798853792296,-1021.3456599420679,-1021.3456599420679
129,-1009.4142901458247,-1020.7534582658764,-1020.7534582658764
130,-922.1495951690197,-1019.9228290976245,-1019.9228290976245
131,-938.5776031552125,-1019.326453572415,-1019.326453572415
132,-892.2887162484344,-1019.5109240336498,-1019.326453572415
133,-892.5799865396077,-1017.482509340263,-1017.482509340263
134,-890.0603501941655,-1016.1417227644233,-1016.1417227644233
135,-860.342243358656,-1012.6845749527695,-1012.6845749527695
136,-895.5189642768264,-1010.6796278171724,-1010.6796278171724
137,-1000.4627503655827,-1014.8719307314637,-1010.6796278171724
138,-898.1206916653302,-1015.0496158799335,-1010.6796278171724
139,-886.7846607957932,-1014.6353708726132,-1010.6796278171724
140,-898.6482801471188,-1013.190792749735,-1010.6796278171724
141,-887.9247953766059,-1013.2856028175456,-1010.6796278171724
142,-864.3916319282625,-1010.4697824973821,-1010.4697824973821
143,-901.3061076091923,-1009.1952707197266,-1009.1952707197266
144,-854.576818125716,-1008.7636246474335,-1008.7636246474335
145,-764.3120409688644,-1008.7670119264388,-1008.7636246474335
146,-882.855013435813,-1007.3776385539821,-1007.3776385539821
147,-807.7651596347455,-1006.4734766921168,-1006.4734766921168
148,-876.0932246710966,-1006.6279120277795,-1006.4734766921168
149,-875.0101665391305,-1006.3986588771991,-1006.3986588771991
150,-870.1217628050787,-1007.3819936221474,-1006.3986588771991
151,-879.6128762462348,-1007.1550497418161,-1006.3986588771991
152,-889.6508944801352,-1006.8277343042807,-1006.3986588771991
153,-784.3110978756737,-1005.4873357402182,-1005.4873357402182
154,-767.7018140935239,-1004.1435874440052,-1004.1435874440052
155,-851.7167495192837,-1003.2275520986872,-1003.2275520986872
156,-877.1482411373469,-1002.8574354531731,-1002.8574354531731
157,-780.9692026007941,-1001.519542210575,-1001.519542210575
158,-788.8983803508501,-1000.193660442191,-1000.193660442191
159,-803.4620035656768,-999.07745210818,-999.07745210818
160,-880.036023772385,-998.3349229571685,-998.3349229571685
161,-771.8897163014697,-996.2582251511766,-996.2582251511766
162,-894.0385198538004,-995.6306759865603,-995.6306759865603
163,-933.0574426056995,-995.8804359085267,-995.6306759865603
164,-941.6676434612515,-996.8071148220749,-995.6306759865603
165,-822.9283217202543,-996.9427977936473,-995.6306759865603
166,-891.6093555851882,-996.5714084100919,-995.6306759865603
167,-873.9255935043849,-994.6014458260605,-994.6014458260605
168,-892.6772919102709,-993.551918640421,-993.551918640421
169,-888.1533098729717,-991.9414644562602,-991.9414644562602
170,-898.2089635407469,-991.1920649270764,-991.1920649270764
171,-946.4337303233658,-990.0631653743953,-990.0631653743953
172,-897.9816951017971,-988.7495514440973,-988.7495514440973
173,-835.0764149781007,-985.9720977029955,-985.9720977029955
174,-909.9186949369262,-983.4715170976306,-983.4715170976306
175,-902.5768457950563,-981.5810535382246,-981.5810535382246
176,-790.1585131514873,-977.7683268524715,-977.7683268524715
177,-983.9447636604128,-975.8222949613187,-975.8222949613187
178,-762.9674368532955,-971.0944730189716,-971.0944730189716
179,-912.8043634608928,-969.5568346909578,-969.5568346909578
180,-902.9850839995725,-968.1311616736375,-968.1311616736375
181,-862.4538475780995,-964.6212192626424,-964.6212192626424
182,-900.9772800803956,-964.0276291042619,-964.0276291042619
183,-961.1608455794271,-961.6097438810556,-961.6097438810556
184,-769.4439295063563,-957.8768065841859,-957.8768065841859
185,-747.438802999509,-954.3287398148856,-954.3287398148856
186,-973.0530223846463,-951.8324526253552,-951.8324526253552
187,-885.8227699356833,-948.695096774088,-948.695096774088
188,-969.2703648675002,-946.5030859482515,-946.5030859482515
189,-900.2637539583079,-943.6990408459463,-943.6990408459463
190,-758.7016171857748,-939.7182096450572,-939.7182096450572
191,-911.6433966117146,-937.8142867441073,-937.8142867441073
192,-871.9126540671962,-934.8266600599542,-934.8266600599542
193,-868.2012368280068,-934.376064829477,-934.376064829477
194,-887.0156541127408,-931.4101741628715,-931.4101741628715
195,-889.9656760081828,-928.9714780498067,-928.9714780498067
196,-782.5908171678176,-924.9802764102807,-924.9802764102807
197,-903.2990971138307,-922.2480264409633,-922.2480264409633
198,-915.3464377291258,-919.6786704229423,-919.6786704229423
199,-905.6953479091933,-917.718443214811,-917.718443214811
200,-983.4292184678498,-916.7819357161785,-916.7819357161785
201,-902.5865448827516,-915.1981810512204,-915.1981810512204
202,-892.4998301995128,-913.4410211855165,-913.4410211855165
203,-892.9754011626717,-911.6448899652511,-911.6448899652511
204,-844.8893069280128,-909.6183366015771,-909.6183366015771
205,-905.1753910143746,-907.9886197992414,-907.9886197992414
206,-888.1612266619086,-906.2062285214976,-906.2062285214976
207,-893.0398368927653,-904.5964868357103,-904.5964868357103
208,-906.7032593466032,-903.9141423321984,-903.9141423321984
209,-984.6036544427259,-902.6734873068192,-902.6734873068192
210,-890.493296894354,-900.4851463827267,-900.4851463827267
211,-986.7679854405669,-898.8782035252491,-898.8782035252491
212,-903.195347915571,-897.4211537307793,-897.4211537307793
213,-902.4120898607856,-896.0711663767742,-896.0711663767742
214,-901.2241471574472,-894.1555844614697,-894.1555844614697
215,-633.5563832271657,-890.1402318812123,-890.1402318812123
216,-963.2215234452968,-889.4685838852309,-889.4685838852309
217,-871.0664501335077,-887.8405564486997,-887.8405564486997
218,-998.6917985701781,-887.5226695087431,-887.5226695087431
219,-907.744856971358,-886.6835377943186,-886.6835377943186
220,-819.8168884230016,-884.4700225806446,-884.4700225806446
221,-894.1338758003369,-884.093532665288,-884.093532665288
222,-889.0918224019523,-883.5379196188202,-883.5379196188202
223,-727.0497340844289,-882.0795888468408,-882.0795888468408
224,-897.0777287200817,-882.3671906955846,-882.0795888468408
225,-891.4879566306339,-882.2134168589483,-882.0795888468408
226,-876.6189319943037,-881.3087033073123,-881.3087033073123
227,-769.4453689218766,-878.9421213100968,-878.9421213100968
228,-903.591105440947,-879.1082335107141,-878.9421213100968
229,-826.0057355584571,-877.2741479648405,-877.2741479648405
230,-778.373323240721,-875.8363852455575,-875.8363852455575
231,-773.8221084775302,-874.1888302987807,-874.1888302987807
232,-779.0606477186632,-873.056549613483,-873.056549613483
233,-894.9638369127752,-873.0803881172146,-873.056549613483
234,-790.2287113014114,-872.082071728287,-872.082071728287
235,-803.4302078941223,-871.5129513736418,-871.5129513736418
236,-838.2462427999941,-870.9402241588734,-870.9402241588734
237,-886.010077952967,-869.7956974347472,-869.7956974347472
238,-840.8347038959407,-869.2228375570533,-869.2228375570533
239,-898.0724544275014,-869.3357154933703,-869.2228375570533
240,-897.5156032507867,-869.3243887244068,-869.2228375570533
241,-972.3611338787927,-870.1687521094289,-869.2228375570533
242,-917.1582221507672,-870.6964180116539,-869.2228375570533
243,-869.245056295989,-870.3758074985218,-869.2228375570533
244,-896.963426621117,-870.799673583476,-869.2228375570533
245,-765.4049943968064,-870.8106031177555,-869.2228375570533
246,-776.3893447101598,-869.7459464304989,-869.2228375570533
247,-878.9548139528083,-870.4578429736795,-869.2228375570533
248,-891.2736023576638,-870.6096467505453,-869.2228375570533
249,-895.0153542796756,-870.8096986279505,-869.2228375570533
250,-889.8149262651757,-871.0066302625513,-869.2228375570533
251,-897.0655078304397,-871.1811565783936,-869.2228375570533
252,-773.4827734769434,-870.0194753683618,-869.2228375570533
253,-888.1764779821467,-871.0581291694266,-869.2228375570533
254,-1024.7956161864126,-873.6290671903556,-869.2228375570533
255,-893.5395564090427,-874.047295259253,-869.2228375570533
256,-770.6963856947726,-872.9827767048273,-869.2228375570533
257,-908.2757181934618,-874.2558418607537,-869.2228375570533
258,-818.0932353488346,-874.5477904107336,-869.2228375570533
259,-889.2800183251849,-875.4059705583286,-869.2228375570533
260,-914.7466955537537,-875.7530772761424,-869.2228375570533
261,-889.371378530023,-876.9278938984279,-869.2228375570533
262,-879.6028804581864,-876.7835375044717,-869.2228375570533
263,-768.625053536305,-875.139213613778,-869.2228375570533
264,-871.4796859355429,-874.4373340385209,-869.2228375570533
265,-773.3287920541052,-873.9413387418593,-869.2228375570533
266,-892.4566869221154,-873.9498120552286,-869.2228375570533
267,-893.1755958248099,-874.1423120784327,-869.2228375570533
268,-896.0478801669437,-874.1760179609996,-869.2228375570533
269,-873.6803208516392,-874.0312880707862,-869.2228375570533
270,-891.4174675002259,-873.9633731103809,-869.2228375570533
271,-857.7253765462079,-873.0762895726094,-869.2228375570533
272,-889.7395924328156,-872.9938685459196,-869.2228375570533
273,-877.7290815244871,-873.4203952113836,-869.2228375570533
274,-812.7606354859024,-872.4488146168733,-869.2228375570533
275,-954.2660285526041,-872.9657064444488,-869.2228375570533
276,-986.6059386471477,-874.9301806994055,-869.2228375570533
277,-887.1539221821037,-873.9622722846221,-869.2228375570533
278,-649.8604478495314,-872.8312023945846,-869.2228375570533
279,-856.3347784409359,-872.266506544385,-869.2228375570533
280,-923.691448270446,-872.4735701870937,-869.2228375570533
281,-888.4770005181824,-872.7338017164944,-869.2228375570533
282,-961.1278751755339,-873.3353076674459,-869.2228375570533
283,-906.2893273744145,-872.7865924853957,-869.2228375570533
284,-873.942137082077,-873.8315745611529,-869.2228375570533
285,-887.2524922360548,-875.2297114535183,-869.2228375570533
286,-894.0245445900879,-874.4394266755729,-869.2228375570533
287,-768.6600995460108,-873.2677999716765,-869.2228375570533
288,-893.650619882512,-872.5116025218266,-869.2228375570533
289,-900.2324663977804,-872.5112896462211,-869.2228375570533
290,-899.6027742216894,-873.9203012165801,-869.2228375570533
291,-770.4660902621558,-872.5085281530845,-869.2228375570533
292,-896.0551371266108,-872.7499529836787,-869.2228375570533
293,-822.5950344678855,-872.2938909600774,-869.2228375570533
