episode,score,average_score,best_score
1,-171.84111248651826,-171.84111248651826,-171.84111248651826
2,-175.99348171188439,-173.91729709920133,-171.84111248651826
3,-162.22841714858012,-170.0210037823276,-170.0210037823276
4,-140.85226783903192,-162.72881979650367,-162.72881979650367
5,-136.34910946129708,-157.45287772946236,-157.45287772946236
6,-133.33017890313968,-153.43242792507525,-153.43242792507525
7,-126.73783780258724,-149.61891505043408,-149.61891505043408
8,-117.38970590335511,-145.59026390704923,-145.59026390704923
9,-100.5317112303289,-140.5837580540803,-140.5837580540803
10,-96.26919634182715,-136.152301882855,-136.152301882855
11,-86.34928808040765,-131.62475517354162,-131.62475517354162
12,-92.08780790600798,-128.3300095679138,-128.3300095679138
13,-67.04253988669166,-123.6155888232044,-123.6155888232044
14,-80.26572735780992,-120.5191701471048,-120.5191701471048
15,-92.93363051518182,-118.68013417164327,-118.68013417164327
16,-84.82804414250568,-116.56437854482215,-116.56437854482215
17,-76.57522823131708,-114.2120755852042,-114.2120755852042
18,-71.40772171993854,-111.83405592602278,-111.83405592602278
19,-75.42222245086526,-109.9176436378566,-109.9176436378566
20,-75.92728900537139,-108.21812590623233,-108.21812590623233
21,-82.44817895427454,-106.99098557518673,-106.99098557518673
22,-72.20876770151219,-105.40997567183787,-105.40997567183787
23,-91.8803584807019,-104.82173144613631,-104.82173144613631
24,-88.67653172990413,-104.14901479129331,-104.14901479129331
25,-78.18373560348364,-103.11040362378091,-103.11040362378091
26,-77.87189968174937,-102.13969193370278,-102.13969193370278
27,-71.24394270309735,-100.99540492516182,-100.99540492516182
28,-71.55696372034,-99.94403202498961,-99.94403202498961
29,-93.47337883458395,-99.72090605290666,-99.72090605290666
30,-82.87727405679269,-99.1594516530362,-99.1594516530362
31,-77.43419327573704,-98.45863686667171,-98.45863686667171
32,-72.87119650989327,-97.65902935552239,-97.65902935552239
33,-87.51597975723206,-97.35166421618025,-97.35166421618025
34,-94.34428842678187,-97.26321198708031,-97.26321198708031
35,-74.70011284144641,-96.61855201149076,-96.61855201149076
36,-72.17285092032778,-95.93950475895845,-95.93950475895845
37,-91.20402126488064,-95.81151871857797,-95.81151871857797
38,-77.90649719715569,-95.34033394169845,-95.34033394169845
39,-82.88546881511495,-95.0209784256322,-95.0209784256322
40,-81.46508092942415,-94.682080988227,-94.682080988227
41,-76.67081771630029,-94.24278188403368,-94.24278188403368
42,-86.6301162075462,-94.0615279393554,-94.0615279393554
43,-70.6995960525376,-93.5182271978015,-93.5182271978015
44,-75.98685622082735,-93.11978694832482,-93.11978694832482
45,-79.09622245441855,-92.80815218179356,-92.80815218179356
46,-75.5501963536588,-92.43297922900801,-92.43297922900801
47,-64.02257623261927,-91.82850256951038,-91.82850256951038
48,-68.20262398918833,-91.33629676575367,-91.33629676575367
49,-79.07603118670819,-91.08608726414049,-91.08608726414049
50,-86.97152200972855,-91.00379595905225,-91.00379595905225
51,-79.60079407214809,-90.78020768676002,-90.78020768676002
52,-75.56596847203167,-90.48762616339985,-90.48762616339985
53,-76.19170279181486,-90.21789176016242,-90.21789176016242
54,-70.46899543069493,-89.85217145776487,-89.85217145776487
55,-70.27619525835762,-89.49624461777564,-89.49624461777564
56,-69.51599555699528,-89.139454455976,-89.139454455976
57,-75.79909602784588,-88.90541308004389,-88.90541308004389
58,-80.79416651774397,-88.76556400138355,-88.76556400138355
59,-84.66383152163496,-88.69604311189629,-88.69604311189629
60,-77.50899876971351,-88.50959237285991,-88.50959237285991
61,-87.41856310958185,-88.49170664723239,-88.49170664723239
62,-76.08117329492377,-88.29153675445323,-88.29153675445323
63,-80.56456582643612,-88.16888642226247,-88.16888642226247
64,-72.11904661012328,-87.9181076751978,-87.9181076751978
65,-95.11828513737373,-88.02887963615436,-87.9181076751978
66,-59.79679760527079,-87.60112081750461,-87.60112081750461
67,-94.61513769599911,-87.70580763658661,-87.60112081750461
68,-79.4013193322874,-87.58368280858221,-87.58368280858221
69,-84.57152991602932,-87.54002841883506,-87.54002841883506
70,-81.54043999591616,-87.45432001279336,-87.45432001279336
71,-95.10202298438345,-87.56203413915378,-87.45432001279336
72,-76.48736873930527,-87.40821934193367,-87.40821934193367
73,-70.55689863988763,-87.1773793323166,-87.1773793323166
74,-76.11153727810684,-87.02784092617863,-87.02784092617863
75,-72.24144059285355,-86.8306889217343,-86.8306889217343
76,-82.99071560757582,-86.78016295707432,-86.78016295707432
77,-68.03137799602365,-86.53667224329445,-86.53667224329445
78,-87.93425748931914,-86.55459000285886,-86.53667224329445
79,-87.71331145120841,-86.56925736296455,-86.53667224329445
80,-72.32589324178123,-86.39121531144977,-86.39121531144977
81,-75.14277668023287,-86.25234569871868,-86.25234569871868
82,-77.05164761218971,-86.1401420635171,-86.1401420635171
83,-67.47795849954956,-85.91529647840906,-85.91529647840906
84,-90.16921508666798,-85.96593836660263,-85.91529647840906
85,-95.4386500423316,-86.07738203337591,-85.91529647840906
86,-66.95375975518515,-85.85501433246672,-85.85501433246672
87,-93.1145935408909,-85.93845777164401,-85.85501433246672
88,-81.87703850483867,-85.89230527997576,-85.85501433246672
89,-75.14411463869024,-85.77153909299503,-85.77153909299503
90,-80.92248804916584,-85.7176607480636,-85.7176607480636
91,-67.01553339037169,-85.51214286501202,-85.51214286501202
92,-102.37296485335511,-85.69541266923315,-85.51214286501202
93,-71.89546334846911,-85.54702611739698,-85.51214286501202
94,-77.58682913605382,-85.46234317078695,-85.46234317078695
