episode,score,average_score,best_score
1,-61.66754381746863,-61.66754381746863,-61.66754381746863
2,-67.33133938899847,-64.49944160323355,-61.66754381746863
3,-59.6401647080619,-62.87968263817633,-61.66754381746863
4,-69.0317657496285,-64.41770341603937,-61.66754381746863
5,-64.78933392770467,-64.49202951837243,-61.66754381746863
6,-48.991995822652456,-61.90869056908576,-61.66754381746863
7,-40.769603960414436,-58.88882105356129,-58.88882105356129
8,-50.7153617209913,-57.86713863699004,-57.86713863699004
9,-44.490758433444384,-56.38087416992941,-56.38087416992941
10,-40.533902512515596,-54.79617700418803,-54.79617700418803
11,-36.47899201879693,-53.13097836915247,-53.13097836915247
12,-47.57481566720529,-52.667964810656876,-52.667964810656876
13,-47.50639291483557,-52.270920818670625,-52.270920818670625
14,-37.58600888185883,-51.22199853746978,-51.22199853746978
15,-31.778277465816917,-49.92575046602625,-49.92575046602625
16,-39.0685926621102,-49.247178103281506,-49.247178103281506
17,-34.05788104916118,-48.35369004127443,-48.35369004127443
18,-40.34001420022476,-47.908485827882785,-47.908485827882785
19,-32.818901086954405,-47.114297157307604,-47.114297157307604
20,-24.69713137887379,-45.993438868385915,-45.993438868385915
21,-26.358735622911695,-45.05845299955381,-45.05845299955381
22,-22.955498372508472,-44.05377324377902,-44.05377324377902
23,-21.83835759403886,-43.087885606833794,-43.087885606833794
24,-19.84036092052549,-42.11923874490428,-42.11923874490428
25,-17.08225668808714,-41.1177594626316,-41.1177594626316
26,-13.98019294099463,-40.074006904107094,-40.074006904107094
27,-15.472470300260369,-39.162838881742395,-39.162838881742395
28,-19.66420550551763,-38.4664591183058,-38.4664591183058
29,-20.387151241958314,-37.84303470877657,-37.84303470877657
30,-15.044108336440555,-37.08307049636537,-37.08307049636537
31,-14.616251872385465,-36.358334411720854,-36.358334411720854
32,-15.624093907205554,-35.71038939595476,-35.71038939595476
33,-13.791350734852804,-35.0461761031941,-35.0461761031941
34,-12.084469078318055,-34.37083177893304,-34.37083177893304
35,-20.162500425299157,-33.9648794545435,-33.9648794545435
36,-10.101967663667216,-33.30202079368583,-33.30202079368583
37,-12.20656043042371,-32.731873216300365,-32.731873216300365
38,-12.738513104625879,-32.20573216072998,-32.20573216072998
39,-18.096443998295918,-31.843955541180385,-31.843955541180385
40,-13.455269104521868,-31.384238380263923,-31.384238380263923
41,-13.323903842804507,-30.94374241593565,-30.94374241593565
42,-12.256392976489158,-30.498805524520257,-30.498805524520257
43,-8.776950563963853,-29.9936461068329,-29.9936461068329
44,-14.382763483969356,-29.638853319949636,-29.638853319949636
45,-22.841962237524584,-29.487811295895746,-29.487811295895746
46,-13.87158312413996,-29.14832807477062,-29.14832807477062
47,-20.512499699404515,-28.96458704550751,-28.96458704550751
48,-14.964673909995055,-28.672922188517663,-28.672922188517663
49,-16.750294463607133,-28.429603255356227,-28.429603255356227
50,-11.318848010657486,-28.087388150462253,-28.087388150462253
51,-9.945733037339755,-27.731669422753967,-27.731669422753967
52,-21.137423139497116,-27.6048569942298,-27.6048569942298
53,-20.301789404195585,-27.467063266115947,-27.467063266115947
54,-16.938250244344843,-27.27208524719426,-27.27208524719426
55,-17.023727904195088,-27.085751477321544,-27.085751477321544
56,-11.252687251018163,-26.803018187566128,-26.803018187566128
57,-12.233704456748626,-26.54741619228863,-26.54741619228863
58,-10.918066108092367,-26.277944639112828,-26.277944639112828
59,-6.522674138778877,-25.94310954588683,-25.94310954588683
60,-8.497438544757266,-25.65234836253467,-25.65234836253467
61,-12.232063243859626,-25.43234368845803,-25.43234368845803
62,-14.910510493435213,-25.262636701441533,-25.262636701441533
63,-20.67276015793778,-25.189781518211312,-25.189781518211312
64,-13.543999766336407,-25.007816178338274,-25.007816178338274
65,-19.15188306189888,-24.91772489962382,-24.91772489962382
66,-13.571190523705381,-24.745807712109904,-24.745807712109904
67,-10.136677476784563,-24.527760992179676,-24.527760992179676
68,-16.349711518720017,-24.407495558746444,-24.407495558746444
69,-14.334980922880392,-24.26151708576288,-24.26151708576288
70,-11.423175639603354,-24.0781122079606,-24.0781122079606
71,-17.96199517542958,-23.991969714544673,-23.991969714544673
72,-15.193086086953084,-23.86976299749479,-23.86976299749479
73,-13.699792119409988,-23.73044832793198,-23.73044832793198
74,-15.536406816023378,-23.619718037230513,-23.619718037230513
75,-16.226440992464262,-23.52114100996696,-23.52114100996696
76,-14.427827500697507,-23.40149214800289,-23.40149214800289
77,-12.680796848174307,-23.26226233891421,-23.26226233891421
78,-11.41993256333405,-23.110437598201642,-23.110437598201642
79,-23.500977914370615,-23.115381146507577,-23.110437598201642
80,-18.534466536315623,-23.058119713880178,-23.058119713880178
